make,model,year,mileage,body_type,transmission,fuel_type,drivetrain,engine_cylinders,engine_volume,color,price
LEXUS,RX 450,2010,186005,Jeep,Automatic,Hybrid,4x4,6.0,3.5,Silver,13328
CHEVROLET,Equinox,2011,192000,Jeep,Tiptronic,Petrol,4x4,6.0,3.0,Black,16621
HONDA,FIT,2006,200000,Hatchback,Variator,Petrol,Front,4.0,1.3,Black,8467
FORD,Escape,2011,168966,Jeep,Automatic,Hybrid,4x4,4.0,2.5,White,3607
HONDA,FIT,2014,91901,Hatchback,Automatic,Petrol,Front,4.0,1.3,Silver,11726
HYUNDAI,Santa FE,2016,160931,Jeep,Automatic,Diesel,Front,4.0,2.0,White,39493
TOYOTA,Prius,2010,258909,Hatchback,Automatic,Hybrid,Front,4.0,1.8,White,1803
HYUNDAI,Sonata,2013,216118,Sedan,Automatic,Petrol,Front,4.0,2.4,Grey,549
TOYOTA,Camry,2014,398069,Sedan,Automatic,Hybrid,Front,4.0,2.5,Black,1098
LEXUS,RX 350,2007,128500,Jeep,Automatic,Petrol,4x4,6.0,3.5,Silver,26657
MERCEDES-BENZ,E 350,2014,184467,Sedan,Automatic,Diesel,Rear,6.0,3.5,White,941
FORD,Transit,1999,0,Microbus,Manual,CNG,Rear,8.0,4.0,Blue,8781
OPEL,Vectra,1997,350000,Goods wagon,Manual,CNG,Front,4.0,1.6,White,3000
LEXUS,RX 450,2013,138038,Jeep,Automatic,Hybrid,Front,6.0,3.5,White,1019
HYUNDAI,Santa FE,2016,76000,Jeep,Automatic,Diesel,Front,4.0,2.0,White,59464
TOYOTA,CHR,2018,74146,Jeep,Automatic,Petrol,Front,4.0,2.0,White,549
HYUNDAI,Elantra,2016,121840,Sedan,Automatic,Petrol,Front,4.0,1.8,Blue,7683
HYUNDAI,Elantra,2016,54317,Sedan,Automatic,Petrol,Front,4.0,1.8,White,28382
HYUNDAI,Sonata,2006,295059,Sedan,Automatic,Petrol,Rear,6.0,3.3,Blue,549
LEXUS,RX 400,2008,364523,Jeep,Automatic,Hybrid,4x4,6.0,3.5,Black,941
HYUNDAI,Elantra,2012,112645,Sedan,Automatic,Petrol,Front,4.0,1.6,Silver,18826
TOYOTA,Prius,2012,187000,Sedan,Automatic,Plug-in Hybrid,Front,4.0,1.8,White,20698
TOYOTA,Camry,2017,39709,Sedan,Automatic,Petrol,Front,4.0,2.5,Black,17562
FORD,Transit,2001,230000,Microbus,Manual,Diesel,Front,4.0,2.0,White,7840
OPEL,Vectra,1995,0,Sedan,Automatic,Petrol,Front,4.0,1.8,Green,4704
MERCEDES-BENZ,E 220,2006,210000,Sedan,Tiptronic,Diesel,Rear,4.0,2.2,Black,20385
LEXUS,GX 470,2008,0,Jeep,Automatic,Petrol,4x4,8.0,4.7,White,549
TOYOTA,Prius,2008,169000,Sedan,Automatic,Hybrid,Front,4.0,1.5,White,30
HYUNDAI,Elantra,2011,158787,Sedan,Automatic,Petrol,Front,4.0,1.6,Silver,14454
TOYOTA,Highlander,2009,420550,Jeep,Automatic,Hybrid,4x4,6.0,3.3,Blue,12074
MERCEDES-BENZ,Vito,2007,180000,Goods wagon,Manual,Diesel,Rear,6.0,2.0,White,15681
PORSCHE,Cayenne,2014,175056,Jeep,Automatic,Diesel,4x4,6.0,3.0,White,19444
BMW,X5,2000,200000,Jeep,Automatic,CNG,4x4,8.0,4.4,Silver,6899
TOYOTA,Highlander,2008,287274,Sedan,Automatic,Hybrid,4x4,6.0,3.3,White,125
JEEP,Grand Cherokee,2007,250000,Jeep,Tiptronic,Diesel,4x4,6.0,3.0,Black,24462
HYUNDAI,Santa FE,2011,162000,Jeep,Automatic,Diesel,Front,4.0,2.0,Grey,23235
TOYOTA,CHR Limited,2019,10200,Jeep,Tiptronic,Petrol,Front,4.0,2.0,Red,51746
HONDA,FIT,2010,158000,Hatchback,Automatic,Hybrid,Front,4.0,1.3,Black,7527
HYUNDAI,Elantra,2012,103490,Sedan,Automatic,Petrol,Front,4.0,1.6,Silver,19121
LEXUS,RX 450,2010,382746,Jeep,Automatic,Hybrid,4x4,6.0,3.5,Silver,314
TOYOTA,Camry,2013,203200,Sedan,Automatic,Petrol,Front,4.0,2.4,Blue,24462
HYUNDAI,H1,2016,61057,Universal,Automatic,Diesel,Front,4.0,2.5,Black,45734
VOLKSWAGEN,Jetta,2016,11200,Sedan,Tiptronic,Petrol,Front,4.0,1.4,Black,20165
HYUNDAI,Sonata,2014,141000,Sedan,Tiptronic,Hybrid,Front,4.0,2.4,White,21326
PORSCHE,Cayenne,2010,160259,Jeep,Automatic,Petrol,4x4,6.0,3.6,Silver,549
TOYOTA,Tacoma,2013,239342,Jeep,Automatic,Petrol,4x4,6.0,4.0,Silver,220
TOYOTA,Prius C,2012,128000,Hatchback,Variator,Hybrid,Front,4.0,1.5,Sky blue,15681
HYUNDAI,Santa FE,2017,100734,Jeep,Automatic,Diesel,Front,4.0,2.0,Black,55390
TOYOTA,Aqua,2012,141500,Hatchback,Automatic,Hybrid,Front,4.0,1.5,Black,12544
FORD,Escape Hybrid,2008,147000,Jeep,Variator,Hybrid,4x4,4.0,2.3,White,17249
HONDA,Civic,2016,87768,Sedan,Automatic,Petrol,Front,4.0,2.0,Blue,34889
AUDI,Q7,2015,264014,Jeep,Automatic,Petrol,4x4,6.0,3.0,Black,862
RENAULT,Megane 1.5CDI,2008,132542,Sedan,Manual,Diesel,Front,4.0,1.5,White,14583
MERCEDES-BENZ,E 300,2017,1600,Sedan,Automatic,Petrol,Rear,4.0,2.0,Black,392
AUDI,Q5,2014,87000,Jeep,Tiptronic,Petrol,4x4,1.0,2.0,White,38500
MERCEDES-BENZ,C 180,2001,260000,Coupe,Manual,Petrol,Rear,4.0,2.0,Blue,8781
MERCEDES-BENZ,GLA 250,2019,5323,Jeep,Tiptronic,Petrol,4x4,4.0,2.0,Grey,87112
NISSAN,Juke,2015,87112,Jeep,Automatic,Petrol,4x4,4.0,1.6,Black,1411
BMW,535,2012,204318,Sedan,Automatic,Petrol,Rear,6.0,3.0,Black,392
CHEVROLET,Cruze LT,2018,22000,Sedan,Automatic,Petrol,Front,4.0,1.4,Red,23521
FORD,Fusion,2013,83000,Sedan,Tiptronic,Petrol,Front,4.0,1.6,Silver,16935
TOYOTA,VOXY,2007,170000,Minivan,Automatic,Petrol,Front,4.0,2.4,Black,10349
NISSAN,Juke,2013,312118,Jeep,Automatic,Petrol,Front,4.0,1.6,Black,7213
MERCEDES-BENZ,A 160,2004,130000,Sedan,Tiptronic,Petrol,Front,4.0,1.6,Black,5331
HYUNDAI,Tucson,2013,200279,Jeep,Automatic,Diesel,Front,4.0,2.0,Grey,20526
HYUNDAI,Sonata,2015,719847,Sedan,Automatic,LPG,Front,4.0,2.0,Orange,9722
HYUNDAI,H1,2014,154672,Minivan,Automatic,Diesel,Front,4.0,2.5,Silver,34657
HYUNDAI,H1,2016,110969,Minivan,Automatic,Diesel,Front,4.0,2.5,Black,36564
TOYOTA,Camry,2013,225510,Sedan,Automatic,Hybrid,Front,4.0,2.5,White,314
TOYOTA,Vitz,2001,210000,Hatchback,Manual,Petrol,Front,4.0,1.5,Sky blue,5488
HYUNDAI,H1,2015,148105,Universal,Automatic,Diesel,Front,4.0,2.5,Silver,30063
CHEVROLET,Captiva,2011,255456,Jeep,Automatic,Diesel,Front,4.0,2.2,Silver,15800
HYUNDAI,H1,2017,111643,Universal,Automatic,Diesel,Front,4.0,2.5,Grey,43952
HYUNDAI,Santa FE,2016,84506,Jeep,Automatic,Diesel,Front,4.0,2.0,Silver,53154
TOYOTA,Prius,2011,288000,Hatchback,Automatic,Hybrid,Front,4.0,1.8,White,14740
FORD,Mustang,2016,75000,Cabriolet,Tiptronic,Petrol,Rear,4.0,2.3,Silver,42337
MERCEDES-BENZ,ML 350,2014,94362,Jeep,Automatic,Petrol,Rear,6.0,3.5,White,3763
TOYOTA,Prius,2012,175000,Sedan,Automatic,Petrol,Front,4.0,1.8,Silver,18189
LEXUS,GX 470,2008,263190,Jeep,Automatic,Petrol,4x4,8.0,4.7,White,862
FORD,Escape,2009,193614,Jeep,Automatic,Hybrid,Front,4.0,2.5,White,220
TOYOTA,Highlander,2010,264877,Jeep,Automatic,Hybrid,4x4,6.0,3.3,White,5645
TOYOTA,Yaris,2019,27656,Sedan,Automatic,Petrol,Front,4.0,1.5,White,7527
HONDA,Civic,2014,16000,Sedan,Automatic,Hybrid,4x4,8.0,1.4,White,21953
HONDA,Cr-v,1998,0,Jeep,Automatic,Petrol,4x4,4.0,2.0,White,8154
TOYOTA,Camry,2012,195053,Sedan,Automatic,Petrol,Front,4.0,2.5,Black,21953
HYUNDAI,Elantra,2012,121362,Sedan,Automatic,Petrol,Front,4.0,1.6,Black,19121
HYUNDAI,Santa FE,2014,69191,Jeep,Automatic,Diesel,Front,4.0,2.0,White,36065
HONDA,FIT,2012,83000,Hatchback,Tiptronic,Hybrid,Front,4.0,1.3,Green,8781
CHEVROLET,Cruze,2010,40772,Sedan,Automatic,Petrol,Front,4.0,1.8,Black,6247
CHEVROLET,Orlando,2012,172000,Jeep,Automatic,Diesel,Front,4.0,2.0,Grey,16289
MERCEDES-BENZ,GL 63 AMG,2014,433811,Jeep,Automatic,Petrol,4x4,8.0,5.5,Black,77775
BMW,520 Vanos,1995,350000,Sedan,Manual,Petrol,Rear,6.0,2.0,Blue,2822
SUBARU,Forester,2012,148213,Jeep,Automatic,Petrol,4x4,4.0,2.5,Blue,549
DAEWOO,Lacetti,2008,103246,Sedan,Automatic,Petrol,Front,4.0,2.0,Black,6981
HYUNDAI,Elantra,2016,105394,Sedan,Tiptronic,Petrol,Front,4.0,2.0,Black,27284
BMW,428 Sport Line,2013,160000,Coupe,Automatic,Petrol,Rear,4.0,2.0,Black,32929
NISSAN,Patrol,1990,333333,Jeep,Manual,Diesel,Rear,4.0,2.8,Black,18817
HONDA,Civic,1997,0,Hatchback,Manual,Petrol,Front,4.0,1.4,Blue,4234
MERCEDES-BENZ,E 320,2004,214000,Sedan,Tiptronic,Petrol,Rear,6.0,3.2,Grey,15053
HYUNDAI,Genesis,2009,123346,Coupe,Automatic,Petrol,Front,4.0,2.0,Black,15458
CHEVROLET,Cruze,2014,80827,Sedan,Automatic,Petrol,Front,4.0,1.4,Green,2901
PORSCHE,911,2013,64464,Coupe,Automatic,Petrol,Rear,6.0,3.8,Black,706
FORD,Fusion,2015,91760,Sedan,Automatic,Hybrid,Front,4.0,2.0,Black,314
LEXUS,GX 460,2010,275240,Jeep,Automatic,Petrol,4x4,8.0,4.6,Silver,15681
MERCEDES-BENZ,Sprinter,2004,300000,Microbus,Manual,Diesel,Rear,4.0,2.2,White,26657
TOYOTA,Prius,2007,318400,Hatchback,Automatic,Petrol,Front,4.0,1.5,Silver,10663
FORD,Focus SE,2015,91200,Sedan,Automatic,Petrol,Front,4.0,2.0,Sky blue,12858
BMW,X5,2013,137802,Jeep,Automatic,Diesel,4x4,6.0,3.0,Black,1019
BMW,535,2013,151586,Sedan,Automatic,Hybrid,Rear,6.0,3.0,White,549
KIA,Picanto,2016,107000,Hatchback,Manual,Petrol,Front,4.0,1.2,Silver,12858
BMW,328,2008,210408,Sedan,Tiptronic,CNG,Rear,6.0,3.0,White,15000
FORD,Explorer,2017,100567,Jeep,Automatic,Petrol,Front,4.0,2.3,Black,85553
HYUNDAI,H1,2016,86000,Universal,Automatic,Diesel,Front,4.0,2.5,Grey,44752
HYUNDAI,Elantra,2010,122740,Sedan,Automatic,Petrol,Front,4.0,1.6,White,17158
MITSUBISHI,Airtrek,2005,144000,Jeep,Tiptronic,LPG,4x4,4.0,2.4,White,12231
MERCEDES-BENZ,E 500 AMG,2003,150000,Sedan,Tiptronic,Petrol,Rear,12.0,5.0,White,11917
MITSUBISHI,Lancer,1997,100000,Sedan,Manual,Petrol,Rear,4.0,1.3,Red,1254
